Airport_Code,Airport_Name
ABE,Lehigh Valley International
ABI,Abilene Regional
ABQ,Albuquerque International Sunport
ABR,Aberdeen Regional
ABY,Southwest Georgia Regional
ACK,Nantucket Memorial
ACT,Waco Regional
ACV,California Redwood Coast Humboldt County
ACY,Atlantic City International
ADK,Adak
ADQ,Kodiak Airport
AEX,Alexandria International
AGS,Augusta Regional at Bush Field
AKN,King Salmon Airport
ALB,Albany International
ALO,Waterloo Regional
AMA,Rick Husband Amarillo International
ANC,Ted Stevens Anchorage International
APN,Alpena County Regional
ASE,Aspen Pitkin County Sardy Field
ATL,Hartsfield-Jackson Atlanta International
ATW,Appleton International
ATY,Watertown Regional
AUS,Austin - Bergstrom International
AVL,Asheville Regional
AVP,Wilkes Barre Scranton International
AZA,Mesa Gateway
AZO,Kalamazoo/Battle Creek International
BDL,Bradley International
BET,Bethel Airport
BFF,Scottsbluff W Neb Regional Wm B Heilig Field
BFL,Meadows Field
BGM,Greater Binghamton/Edwin A. Link Field
BGR,Bangor International
BHM,Birmingham-Shuttlesworth International
BIH,Bishop Airport
BIL,Billings Logan International
BIS,Bismarck Municipal
BJI,Bemidji Regional
BLI,Bellingham International
BLV,Scott AFB MidAmerica St Louis
BMI,Central Il Regional Airport at Bloomington
BNA,Nashville International
BOI,Boise Air Terminal
BOS,Logan International
BPT,Jack Brooks Regional
BQN,Rafael Hernandez
BRD,Brainerd Lakes Regional
BRO,Brownsville South Padre Island International
BRW,Wiley Post/Will Rogers Memorial
BTM,Bert Mooney
BTR,Baton Rouge Metropolitan/Ryan Field
BTV,Patrick Leahy Burlington International
BUF,Buffalo Niagara International
BUR,Bob Hope
BWI,Baltimore/Washington International Thurgood Marshall
BZN,Bozeman Yellowstone International
CAE,Columbia Metropolitan
CAK,Akron-Canton Regional
CDC,Cedar City Regional
CDV,Merle K Mudhole Smith
CHA,Lovell Field
CHO,Charlottesville Albemarle
CHS,Charleston AFB/International
CID,The Eastern Iowa
CIU,Chippewa County International
CKB,North Central West Virginia
CLD,McClellan-Palomar
CLE,Cleveland-Hopkins International
CLL,Easterwood Field
CLT,Charlotte Douglas International
CMH,John Glenn Columbus International
CMI,University of Illinois/Willard
CMX,Houghton County Memorial
COD,Yellowstone Regional
COS,City of Colorado Springs Municipal
COU,Columbia Regional
CPR,Casper/Natrona County International
CRP,Corpus Christi International
CRW,West Virginia International Yeager
CVG,Cincinnati/Northern Kentucky International
CWA,Central Wisconsin
CYS,Cheyenne Regional/Jerry Olson Field
DAB,Daytona Beach International
DAL,Dallas Love Field
DAY,James M Cox/Dayton International
DCA,Ronald Reagan Washington National
DDC,Dodge City Regional
DEC,Decatur Airport
DEN,Denver International
DFW,Dallas/Fort Worth International
DHN,Dothan Regional
DIK,Dickinson - Theodore Roosevelt Regional
DLG,Dillingham Airport
DLH,Duluth International
DRO,Durango La Plata County
DSM,Des Moines International
DTW,Detroit Metro Wayne County
DVL,Devils Lake Regional
EAR,Kearney Regional
EAU,Chippewa Valley Regional
ECP,Northwest Florida Beaches International
EGE,Eagle County Regional
EKO,Elko Regional
ELM,Elmira/Corning Regional
ELP,El Paso International
ERI,Erie International/Tom Ridge Field
ESC,Delta County
EUG,Mahlon Sweet Field
EVV,Evansville Regional
EWN,Coastal Carolina Regional
EWR,Newark Liberty International
EYW,Key West International
FAI,Fairbanks International
FAR,Hector International
FAT,Fresno Yosemite International
FAY,Fayetteville Regional/Grannis Field
FCA,Glacier Park International
FLG,Flagstaff Pulliam
FLL,Fort Lauderdale-Hollywood International
FMN,Four Corners Regional
FNT,Bishop International
FOD,Fort Dodge Regional
FSD,Joe Foss Field
FSM,Fort Smith Regional
FWA,Fort Wayne International
GCC,Northeast Wyoming Regional
GCK,Garden City Regional
GEG,Spokane International
GFK,Grand Forks International
GGG,East Texas Regional
GJT,Grand Junction Regional
GNV,Gainesville Regional
GPT,Gulfport-Biloxi International
GRB,Green Bay Austin Straubel International
GRI,Central Nebraska Regional
GRK,Robert Gray AAF
GRR,Gerald R. Ford International
GSO,Piedmont Triad International
GSP,Greenville-Spartanburg International
GST,Gustavus Airport
GTF,Great Falls International
GTR,Golden Triangle Regional
GUC,Gunnison-Crested Butte Regional
GUF,Gulf Shores International Jack Edwards Field
GUM,Guam International
HDN,Yampa Valley
HGR,Hagerstown Regional-Richard A. Henson Field
HHH,Hilton Head Airport
HIB,Range Regional
HLN,Helena Regional
HNL,Daniel K Inouye International
HOB,Lea County Regional
HOU,William P Hobby
HPN,Westchester County
HRL,Valley International
HSV,Huntsville International-Carl T Jones Field
HTS,Tri-State/Milton J. Ferguson Field
HYA,Cape Cod Gateway
HYS,Hays Regional
IAD,Washington Dulles International
IAG,Niagara Falls International
IAH,George Bush Intercontinental/Houston
ICT,Wichita Dwight D Eisenhower National
IDA,Idaho Falls Regional
ILM,Wilmington International
IMT,Ford
IND,Indianapolis International
INL,Falls International Einarson Field
ISP,Long Island MacArthur
ITH,Ithaca Tompkins International
ITO,Hilo International
JAC,Jackson Hole
JAN,Jackson Medgar Wiley Evers International
JAX,Jacksonville International
JFK,John F. Kennedy International
JLN,Joplin Regional
JMS,Jamestown Regional
JNU,Juneau International
JST,John Murtha Johnstown-Cambria County
KOA,Ellison Onizuka Kona International at Keahole
KTN,Ketchikan International
LAF,Purdue University
LAN,Capital Region International
LAR,Laramie Regional
LAS,Harry Reid International
LAW,Lawton-Fort Sill Regional
LAX,Los Angeles International
LBB,Lubbock Preston Smith International
LBE,Arnold Palmer Regional
LBF,North Platte Regional Airport Lee Bird Field
LBL,Liberal Mid-America Regional
LCH,Lake Charles Regional
LCK,Rickenbacker International
LEX,Blue Grass
LFT,Lafayette Regional Paul Fournet Field
LGA,LaGuardia
LGB,Long Beach Airport
LIH,Lihue Airport
LIT,Bill and Hillary Clinton Nat Adams Field
LNK,Lincoln Airport
LRD,Laredo International
LSE,La Crosse Regional
LWS,Lewiston Nez Perce County
MAF,Midland International Air and Space Port
MBS,MBS International
